job_id,submitted_at,job_category,priority_level,region,payload_size_mb,executor_memory_mb,replica_count,retry_count,node_instance_type,node_family,node_vcpus,node_memory,node_network,node_price_hourly,node_spot_price_hourly,cpu_utilization_pct,pod_memory_available_pct,active_thread_count,broker_latency_ms,queue_wait_time_ms,disk_io_mbps,network_io_mbps,gc_pause_time_ms,execution_time_sec,job_cost_usd,target_label
JOB-104850,2026-06-17 11:08,Aggregation,Low,us-west,17.99,512,2,3,i4i.12xlarge,Storage optimized,48 vCPUs,384 GiB,28.12 Gigabit,$4.1180 hourly,$1.1225 hourly,43.5,81.9,10,76.4,,67.64,32.25,11.9,23.2,0.05308,Normal
JOB-107257,2026-06-28 19:35,Streaming,Medium,us-east,1.72,512,3,0,c8g.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 15 Gigabit,$0.3190 hourly,$0.1431 hourly,62.0,43.7,13,31.3,11.8,38.75,21.77,70.7,40.1,0.01066,Normal
JOB-104026,2026-07-06 15:21,Aggregation,Low,eu-central,137.67,1024,2,0,c6id.8xlarge,Compute optimized,32 vCPUs,64 GiB,12.5 Gigabit,$1.6128 hourly,$0.9966 hourly,28.0,77.6,18,39.6,125.1,30.46,18.63,30.7,42.3,0.0379,Normal
JOB-106539,2026-08-03 15:53,Streaming,Medium,ap-south,3.0,1024,3,0,c8i.4xlarge,Compute optimized,16 vCPUs,32 GiB,Up to 15 Gigabit,$0.7497 hourly,$0.3334 hourly,51.1,22.1,16,46.3,147.2,28.39,4.8,33.7,29.9,0.01868,Normal
JOB-106603,2026-06-15 14:34,Aggregation,High,eu-central,12.55,1024,2,0,m8gb.12xlarge,General purpose,48 vCPUs,192 GiB,100 Gigabit,$3.4920 hourly,$0.9326 hourly,26.2,78.6,18,92.4,56.7,27.43,29.49,3.8,34.6,0.06712,Normal
JOB-105770,2026-08-17 13:33,WebScraping,Medium,eu-central,6.45,1024,5,0,m8ib.12xlarge,General purpose,48 vCPUs,192 GiB,50 Gigabit,$4.0099 hourly,$1.4940 hourly,54.5,64.9,19,64.2,43.3,51.68,28.47,44.7,24.9,0.13868,Normal
JOB-103770,2026-08-11 09:35,MLTraining,High,eu-central,69.73,4096,3,0,r8i-flex.16xlarge,Memory optimized,64 vCPUs,512 GiB,Up to 30 Gigabit,$4.2230 hourly,$1.4911 hourly,70.7,74.4,14,50.1,151.8,49.35,22.71,32.2,82.7,0.29104,Normal
JOB-107760,2026-06-01 13:56,DocumentProcessing,Low,us-west,21.4,1024,1,0,i8g.12xlarge,Storage optimized,48 vCPUs,384 GiB,Up to 28.12 Gigabit,$4.1184 hourly,$1.1837 hourly,69.1,55.7,16,26.4,9.4,73.27,37.66,147.9,30.0,0.03432,Normal
JOB-108525,2026-07-25 11:56,WebScraping,Medium,us-east,16.12,2048,3,1,r7i.24xlarge,Memory optimized,96 vCPUs,768 GiB,37.5 Gigabit,$6.3504 hourly,$2.4406 hourly,78.9,48.1,22,39.4,55.5,43.51,9.52,74.4,26.6,0.14077,Normal
JOB-107050,2026-06-07 16:33,DocumentProcessing,Critical,eu-central,65.23,3840,4,0,c3.xlarge,Compute optimized,4 vCPUs,7.5 GiB,Moderate,$0.2100 hourly,$0.0758 hourly,99.5,28.1,11,19.1,71.7,53.36,26.28,13.9,310.7,0.0725,Bottleneck
JOB-105714,2026-06-14 08:08,ETL,High,ap-south,42.11,8192,2,2,c5ad.24xlarge,Compute optimized,96 vCPUs,192 GiB,20 Gigabit,$4.1280 hourly,$1.3751 hourly,64.1,40.6,11,50.0,81.4,49.91,,53.9,29.3,0.06719,Normal
JOB-107118,2026-07-15 17:55,Streaming,Critical,us-east,4.98,1024,1,0,c7i.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0893 hourly,$0.0283 hourly,54.4,74.3,9,26.2,19.8,54.33,25.49,8.5,31.1,0.00077,Normal
JOB-109731,2026-08-05 10:05,WebScraping,Medium,us-east,148.97,2048,2,0,c8ib.large,Compute optimized,2 vCPUs,4 GiB,Up to 16.66 Gigabit,$0.1361 hourly,$0.0395 hourly,66.7,63.7,14,51.9,63.2,58.41,25.82,57.3,470.1,0.03554,Bottleneck
JOB-102598,2026-06-28 19:20,WebScraping,Low,us-east,54.97,4096,3,0,c5.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 10 Gigabit,$0.1700 hourly,$0.0610 hourly,67.3,3.0,8,17.5,160.7,32.64,44.13,60.0,380.7,0.05393,Bottleneck
JOB-106887,2026-07-08 08:35,WebScraping,Medium,ap-south,252.66,1024,2,1,r8id.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1663 hourly,$0.0512 hourly,73.5,72.7,15,54.6,40.3,35.04,11.67,33.1,993.0,0.09174,Normal
JOB-109664,2026-08-28 00:53,aggregation,Medium,eu-central,57.88,2048,1,0,c7i.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.3570 hourly,$0.1735 hourly,53.9,44.4,15,36.4,86.6,27.42,37.48,15.6,49.4,0.0049,Normal
JOB-102909,2026-06-16 21:07,DocumentProcessing,Medium,ap-south,18.19,4096,5,0,d3.xlarge,Storage optimized,4 vCPUs,32 GiB,Up to 15 Gigabit,$0.4990 hourly,$0.1124 hourly,40.6,83.8,8,70.8,68.1,32.39,25.94,7.1,41.1,0.02848,Normal
JOB-105719,2026-06-10 16:19,DocumentProcessing,Medium,ap-south,9.71,4096,2,0,m8gn.large,General purpose,2 vCPUs,8 GiB,Up to 30 Gigabit,$0.1455 hourly,$0.0561 hourly,87.3,81.1,8,70.4,393.1,33.71,40.51,2.9,95.7,0.00774,Bottleneck
JOB-101704,2026-07-13 14:40,ETL,High,ap-south,10.3,512,2,0,c5a.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 10 Gigabit,$0.1540 hourly,$0.0644 hourly,45.5,55.8,9,38.6,,45.84,12.16,29.3,44.2,0.00378,Normal
JOB-104854,2026-07-12 13:54,Aggregation,Low,us-west,37.98,8192,3,0,c8gn.24xlarge,Compute optimized,96 vCPUs,192 GiB,300 Gigabit,$5.6880 hourly,$1.2134 hourly,55.4,27.6,19,32.1,46.9,66.94,35.23,64.9,22.8,0.10807,Normal
JOB-108455,2026-06-07 03:17,DocumentProcessing,Low,us-west,146.42,2048,2,0,c4.4xlarge,Compute optimized,16 vCPUs,30 GiB,High,$0.7960 hourly,$0.3131 hourly,32.0,89.3,11,42.7,115.5,52.92,33.95,7.7,110.4,0.04882,Normal
JOB-108816,2026-07-01 08:48,MLTraining,Medium,us-east,129.57,2048,1,0,x1e.2xlarge,Memory optimized,8 vCPUs,244 GiB,Up to 10 Gigabit,$1.6680 hourly,$0.3376 hourly,85.2,30.0,15,22.9,70.8,55.41,14.42,36.6,349.2,0.1618,Normal
JOB-106157,2026-06-25 14:21,ETL,Medium,us-west,80.74,4096,2,0,r7iz.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1860 hourly,$0.0374 hourly,58.6,28.0,7,47.4,123.4,68.99,18.75,52.9,435.9,0.04504,Bottleneck
JOB-107068,2026-08-16 07:37,WebScraping,Low,us-west,209.1,512,1,0,i8g.large,Storage optimized,2 vCPUs,16 GiB,Up to 10 Gigabit,$0.1716 hourly,$0.0448 hourly,43.4,60.0,12,45.3,83.6,73.34,34.03,15.0,597.6,0.02849,Normal
JOB-107544,2026-07-26 11:55,DocumentProcessing,Low,ap-south,8.16,2048,1,1,c6id.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.1008 hourly,$0.0336 hourly,49.9,38.2,6,57.2,328.4,28.51,33.86,36.9,129.2,0.00362,Bottleneck
JOB-103170,2026-07-19 15:41,ETL,Low,us-west,132.01,2048,3,0,m9gd.large,General purpose,2 vCPUs,8 GiB,Up to 15 Gigabit,$0.1257 hourly,$0.0396 hourly,50.1,57.7,13,34.0,,37.43,33.11,,291.7,0.03056,Normal
JOB-103961,2026-07-12 03:34,Streaming,Medium,eu-central,21.28,4096,1,2,c6gd.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 10 Gigabit,$0.3072 hourly,$0.0372 hourly,48.4,46.3,13,30.7,93.2,19.36,39.21,43.6,164.7,0.01405,Bottleneck
JOB-103848,2026-08-06 07:10,Aggregation,Low,eu-central,21.12,2048,1,0,r8idb.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 20 Gigabit,$0.4689 hourly,$0.1681 hourly,26.0,97.0,14,68.9,59.6,29.82,38.54,6.7,40.9,0.00533,Normal
JOB-105888,2026-07-11 10:42,Aggregation,Medium,eu-central,62.28,8192,1,0,m8g.2xlarge,General purpose,8 vCPUs,32 GiB,Up to 15 Gigabit,$0.3590 hourly,$0.1358 hourly,82.5,67.7,15,72.1,63.6,55.72,32.96,109.6,252.0,0.02513,Bottleneck
JOB-106461,2026-06-04 15:01,DocumentProcessing,Critical,ap-south,200.93,2048,2,0,m5a.xlarge,General purpose,4 vCPUs,16 GiB,Up to 10 Gigabit,$0.1720 hourly,$0.0759 hourly,46.8,94.1,12,46.2,72.4,12.48,42.97,17.7,220.4,0.02106,Normal
JOB-104003,2026-06-15 07:07,WebScraping,Medium,us-west,13.71,2048,2,0,i4g.8xlarge,Storage optimized,32 vCPUs,256 GiB,18.75 Gigabit,$2.4710 hourly,$0.8166 hourly,83.1,79.7,16,26.2,19.8,31.55,12.78,21.8,36.6,0.05024,Normal
JOB-102231,2026-06-08 21:51,aggregation,Low,us-east,66.5,2048,2,0,m5zn.12xlarge,General purpose,48 vCPUs,192 GiB,100 Gigabit,$3.9641 hourly,$1.5137 hourly,31.3,49.9,19,23.6,101.8,47.01,15.75,5.8,36.6,0.0806,Normal
JOB-104702,2026-08-16 11:49,Streaming,Critical,us-east,19.04,1024,3,0,c8id.4xlarge,Compute optimized,16 vCPUs,32 GiB,Up to 15 Gigabit,$0.8870 hourly,$0.2378 hourly,84.0,18.0,12,32.8,110.8,25.8,37.39,29.4,29.7,0.02195,Normal
JOB-106683,2026-08-24 07:36,Aggregation,High,us-east,7.47,4096,5,3,r4.xlarge,Memory optimized,4 vCPUs,30.5 GiB,Up to 10 Gigabit,$0.2660 hourly,$0.0992 hourly,8.8,82.6,19,12.5,8.4,29.16,34.6,21.7,19.0,0.00702,Normal
JOB-100141,2026-07-17 09:21,web_scraping ,Medium,us-west,51.05,8192,3,0,r5.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 10 Gigabit,$0.2520 hourly,$0.0662 hourly,77.7,38.0,18,26.1,199.5,30.2,36.35,68.7,296.9,0.06235,Bottleneck
JOB-108242,2026-07-19 11:08,webscraping,High,us-east,23.05,512,5,0,m9g.4xlarge,General purpose,16 vCPUs,64 GiB,Up to 17 Gigabit,$0.7827 hourly,$0.3130 hourly,45.1,85.5,11,32.8,,13.81,17.18,2.6,52.5,0.05707,Normal
JOB-108949,2026-06-29 17:42,MLTraining,Medium,us-east,33.57,2048,2,1,c8g.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0798 hourly,$0.0297 hourly,99.5,57.3,14,24.9,138.5,41.12,30.11,33.6,1312.2,0.05817,Bottleneck
JOB-108561,2026-06-26 15:22,streaming,Low,us-east,16.66,1024,3,0,m8ine.xlarge,General purpose,4 vCPUs,16 GiB,6.25 Gigabit,$0.4177 hourly,$0.1245 hourly,31.2,93.9,16,59.4,19.3,55.8,20.79,11.8,31.5,0.01096,Normal
JOB-105030,2026-06-18 15:30,MLTraining,High,us-west,110.04,2048,2,0,m6gd.4xlarge,General purpose,16 vCPUs,64 GiB,Up to 10 Gigabit,$0.7232 hourly,$0.2829 hourly,46.5,62.0,14,26.7,30.5,27.48,15.4,46.8,228.3,0.09173,Normal
JOB-107969,2026-06-16 13:11,DocumentProcessing,Medium,eu-central,41.01,4096,2,1,c8g.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 15 Gigabit,$0.3190 hourly,$0.1431 hourly,47.1,36.2,8,41.9,228.9,79.96,29.25,148.2,316.8,0.05614,Bottleneck
JOB-100689,2026-07-23 00:14,DocumentProcessing,Medium,us-west,49.23,2048,1,0,r5ad.large,Memory optimized,2 vCPUs,16 GiB,Up to 10 Gigabit,$0.1310 hourly,$0.0431 hourly,76.6,74.2,19,49.0,43.2,51.53,42.72,63.8,376.6,0.0137,Bottleneck
JOB-104625,2026-07-24 11:54,DocumentProcessing,Low,eu-central,16.65,2048,1,0,i8g.2xlarge,Storage optimized,8 vCPUs,64 GiB,Up to 12 Gigabit,$0.6864 hourly,$0.2057 hourly,29.9,17.5,14,27.5,122.6,38.52,22.31,14.9,31.8,0.00606,Normal
JOB-102693,2026-08-06 19:00,DocumentProcessing,High,us-west,118.97,1024,2,0,m9gd.2xlarge,General purpose,8 vCPUs,32 GiB,Up to 17 Gigabit,$0.5028 hourly,$0.1571 hourly,29.0,54.6,9,65.4,72.8,44.3,,37.7,133.0,0.03715,Normal
JOB-109506,2026-07-08 15:23,Streaming,Medium,us-east,19.86,4096,4,0,c6gn.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 25 Gigabit,$0.3456 hourly,$0.1390 hourly,75.4,30.7,8,27.4,146.4,42.31,27.29,26.5,104.2,0.04001,Bottleneck
JOB-101899,2026-06-05 16:05,Aggregation,Medium,eu-central,40.27,512,4,1,c5.4xlarge,Compute optimized,16 vCPUs,32 GiB,Up to 10 Gigabit,$0.6800 hourly,$0.1869 hourly,45.1,85.1,10,89.5,226.6,25.56,29.84,8.4,40.3,0.03045,Normal
JOB-102953,2026-07-30 12:57,ETL,Medium,eu-central,238.41,4096,4,0,r8a.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1598 hourly,$0.0438 hourly,51.5,65.5,9,39.2,129.9,23.73,31.72,14.2,1084.2,0.19251,Bottleneck
JOB-104834,2026-08-16 09:28,Aggregation,Low,ap-south,14.92,4096,3,0,m8id.large,General purpose,2 vCPUs,8 GiB,Up to 12.5 Gigabit,$0.1305 hourly,$0.0300 hourly,75.5,53.9,21,32.8,55.3,68.88,33.16,48.4,47.5,0.00517,Bottleneck
JOB-104258,2026-08-17 14:14,Streaming,Low,us-west,10.47,2048,2,0,c8gd.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0980 hourly,$0.0367 hourly,40.1,95.1,12,50.5,170.6,65.75,46.95,5.4,146.9,0.008,Bottleneck
JOB-109577,2026-06-29 09:07,WebScraping,High,us-east,75.1,1024,2,2,r5ad.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 10 Gigabit,$0.2620 hourly,$0.1093 hourly,56.6,85.8,7,57.7,275.7,37.68,41.86,8.0,109.6,0.01595,Normal
JOB-103264,2026-06-28 11:48,Streaming,Medium,eu-central,10.78,2048,4,0,c8ib.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 20 Gigabit,$0.2722 hourly,$0.0933 hourly,29.4,45.5,16,38.2,219.6,25.6,21.88,103.5,85.8,0.02595,Bottleneck
JOB-105470,2026-06-10 09:56,MLTraining,Medium,us-east,88.4,512,3,0,r3.8xlarge,Memory optimized,32 vCPUs,244 GiB,10 Gigabit,$2.6600 hourly,$0.7301 hourly,56.8,82.3,18,19.6,222.3,41.41,37.03,55.4,80.4,0.17822,Normal
JOB-109908,2026-08-25 14:12,MLTraining,High,us-west,70.28,4096,2,0,c6gn.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 25 Gigabit,$0.3456 hourly,$0.1390 hourly,61.8,52.4,10,17.0,51.8,25.25,26.48,42.5,137.2,0.02634,Normal
JOB-109845,2026-07-31 10:11,Aggregation,Low,ap-south,19.08,2048,2,0,c8ine.xlarge,Compute optimized,4 vCPUs,8 GiB,6.25 Gigabit,$0.3402 hourly,$0.1068 hourly,52.1,36.7,18,28.1,165.5,45.96,46.05,106.9,164.6,0.03111,Bottleneck
JOB-101007,2026-06-26 12:29,mltraining,High,us-west,763.12,2048,2,0,m8idb.xlarge,General purpose,4 vCPUs,16 GiB,Up to 20 Gigabit,$0.3819 hourly,$0.1363 hourly,50.8,54.8,24,149.6,49.4,39.99,32.4,8.5,6378.7,1.35335,Bottleneck
JOB-107873,2026-08-13 16:43,ETL,High,us-west,107.76,512,1,1,m5zn.large,General purpose,2 vCPUs,8 GiB,Up to 25 Gigabit,$0.1652 hourly,$0.0427 hourly,42.6,29.6,9,54.0,,15.66,34.34,44.7,1238.8,0.05685,Bottleneck
JOB-106721,2026-08-22 14:53,WebScraping,Low,us-west,104.63,512,1,0,r6a.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 12.5 Gigabit,$0.2268 hourly,$0.1015 hourly,57.6,40.6,18,38.6,62.6,25.12,23.96,13.9,221.1,0.01393,Normal
JOB-109629,2026-08-08 22:36,DocumentProcessing,High,us-east,53.45,4096,5,0,c5.12xlarge,Compute optimized,48 vCPUs,96 GiB,12 Gigabit,$2.0400 hourly,$0.6046 hourly,58.4,56.9,11,27.8,34.1,34.9,10.79,130.5,48.0,0.136,Normal
JOB-107738,2026-06-20 19:35,WebScraping,High,us-east,43.84,1024,5,0,r8i-flex.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1320 hourly,$0.0456 hourly,47.8,60.9,10,60.3,92.7,1.0,35.67,23.3,149.5,0.02741,Normal
JOB-100309,2026-08-09 10:06,documentprocessing,Medium,us-east,13.4,2048,2,0,c9g.large,Compute optimized,2 vCPUs,4 GiB,Up to 15 Gigabit,$0.0869 hourly,$0.0262 hourly,49.1,59.8,15,58.4,51.1,36.94,25.27,57.8,40.9,0.00197,Normal
JOB-107105,2026-06-10 11:37,DocumentProcessing,Medium,ap-south,131.9,2048,4,0,r8gn.8xlarge,Memory optimized,32 vCPUs,256 GiB,100 Gigabit,$2.9149 hourly,$0.6973 hourly,78.0,44.0,16,47.1,31.6,49.85,24.58,61.7,125.2,0.40549,Normal
JOB-108621,2026-07-22 07:16,ML Training,Medium,us-west,70.42,2048,2,0,r6g.4xlarge,Memory optimized,16 vCPUs,128 GiB,Up to 10 Gigabit,$0.8064 hourly,$0.2183 hourly,42.4,66.3,12,28.3,63.5,16.0,34.21,52.3,95.3,0.04269,Normal
JOB-109656,2026-06-22 09:59,ETL,Critical,eu-central,59.24,4096,5,1,hpc7g.16xlarge,Compute optimized,64 vCPUs,128 GiB,200 Gigabit,$1.6832 hourly,-,79.8,46.3,11,36.1,108.2,46.15,23.84,111.2,46.6,0.10894,Normal
JOB-108169,2026-08-11 15:24,ETL,Low,us-west,5.7,512,2,1,r8gd.8xlarge,Memory optimized,32 vCPUs,256 GiB,15 Gigabit,$2.3514 hourly,$1.1657 hourly,52.8,35.4,20,30.9,248.0,68.44,34.72,28.6,33.2,0.04337,Normal
JOB-101968,2026-06-19 09:32,ETL,Medium,ap-south,18.42,512,4,1,r9gd.12xlarge,Memory optimized,48 vCPUs,384 GiB,25 Gigabit,$3.8443 hourly,$0.6517 hourly,69.7,52.5,15,50.0,211.2,63.83,43.73,33.3,28.5,0.12174,Normal
JOB-104488,2026-08-17 17:56,Aggregation,Low,ap-south,20.59,2048,2,0,m8gd.large,General purpose,2 vCPUs,8 GiB,Up to 12.5 Gigabit,$0.1153 hourly,$0.0480 hourly,52.8,75.0,9,49.6,156.5,31.49,25.58,70.6,201.9,0.01293,Bottleneck
JOB-105650,2026-06-21 10:30,Aggregation,Low,us-west,37.12,512,4,0,m6id.24xlarge,General purpose,96 vCPUs,384 GiB,37.5 Gigabit,$5.6952 hourly,$1.1298 hourly,50.1,55.8,13,12.3,45.5,22.53,40.49,16.5,30.4,0.19237,Normal
JOB-101105,2026-08-23 08:53,MLTraining,Medium,us-west,361.52,1024,4,0,is4gen.xlarge,Storage optimized,4 vCPUs,24 GiB,Up to 25 Gigabit,$0.5763 hourly,$0.1642 hourly,54.6,40.7,18,18.7,26.2,45.53,13.75,52.2,2379.5,1.52367,Bottleneck
JOB-100988,2026-07-27 13:18,DocumentProcessing,Critical,us-west,16.26,1024,2,0,m8gb.24xlarge,General purpose,96 vCPUs,384 GiB,200 Gigabit,$6.9840 hourly,$2.1266 hourly,97.6,18.8,17,90.8,102.7,43.37,37.73,31.3,34.9,0.13541,Normal
JOB-109021,2026-07-20 13:19,Aggregation,Medium,us-west,33.4,2048,5,0,r6i.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 12.5 Gigabit,$0.2520 hourly,$0.1348 hourly,67.0,58.9,7,30.4,217.2,3.53,26.1,1.5,45.0,0.01575,Normal
JOB-102787,2026-06-07 15:31,Streaming,Medium,us-west,28.93,4096,3,0,m6idn.large,General purpose,2 vCPUs,8 GiB,Up to 25 Gigabit,$0.1591 hourly,$0.0458 hourly,76.7,42.7,12,19.8,279.0,35.11,14.67,14.8,185.0,0.02453,Bottleneck
