job_id,submitted_at,job_category,priority_level,region,payload_size_mb,executor_memory_mb,replica_count,retry_count,node_instance_type,node_family,node_vcpus,node_memory,node_network,node_price_hourly,node_spot_price_hourly,cpu_utilization_pct,pod_memory_available_pct,active_thread_count,broker_latency_ms,queue_wait_time_ms,disk_io_mbps,network_io_mbps,gc_pause_time_ms,execution_time_sec,job_cost_usd,target_label,node_vcpus_n,node_memory_gib,node_price_usd_hr,node_spot_price_usd_hr,node_network_gbps,node_network_burst,submit_hour,day_of_week,is_peak_hour,available_memory_mb,memory_pressure_ratio,memory_pressure_log,payload_size_mb_log,threads_per_vcpu,memory_per_vcpu_gib,is_bottleneck
JOB-107257,2026-06-28 19:35,Streaming,Medium,us-east,1.72,512,3,0,c8g.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 15 Gigabit,$0.3190 hourly,$0.1431 hourly,62.0,43.7,13,31.3,11.8,38.75,21.77,70.7,40.1,0.01066,Normal,8,16.0,0.319,0.1431,15.0,1,19,6,0,7159.808000000001,0.00024022990560640728,-8.333914153127326,1.000631880307906,1.625,2.0,0
JOB-104026,2026-07-06 15:21,Aggregation,Low,eu-central,137.67,1024,2,0,c6id.8xlarge,Compute optimized,32 vCPUs,64 GiB,12.5 Gigabit,$1.6128 hourly,$0.9966 hourly,28.0,77.6,18,39.6,125.1,30.46,18.63,30.7,42.3,0.0379,Normal,32,64.0,1.6128,0.9966,12.5,0,15,0,1,50855.935999999994,0.0027070586214360502,-5.911892613085355,4.932097009765773,0.5625,2.0,0
JOB-106539,2026-08-03 15:53,Streaming,Medium,ap-south,3.0,1024,3,0,c8i.4xlarge,Compute optimized,16 vCPUs,32 GiB,Up to 15 Gigabit,$0.7497 hourly,$0.3334 hourly,51.1,22.1,16,46.3,147.2,28.39,4.8,33.7,29.9,0.01868,Normal,16,32.0,0.7497,0.3334,15.0,1,15,0,1,7241.728,0.0004142657664027149,-7.789002842266686,1.3862943611198906,1.0,2.0,0
JOB-106603,2026-06-15 14:34,Aggregation,High,eu-central,12.55,1024,2,0,m8gb.12xlarge,General purpose,48 vCPUs,192 GiB,100 Gigabit,$3.4920 hourly,$0.9326 hourly,26.2,78.6,18,92.4,56.7,27.43,29.49,3.8,34.6,0.06712,Normal,48,192.0,3.492,0.9326,100.0,0,14,0,1,154533.88799999998,8.121196044714802e-05,-9.418448025496511,2.6063865473257097,0.375,4.0,0
JOB-105770,2026-08-17 13:33,WebScraping,Medium,eu-central,6.45,1024,5,0,m8ib.12xlarge,General purpose,48 vCPUs,192 GiB,50 Gigabit,$4.0099 hourly,$1.4940 hourly,54.5,64.9,19,64.2,43.3,51.68,28.47,44.7,24.9,0.13868,Normal,48,192.0,4.0099,1.494,50.0,0,13,0,1,127598.592,5.0549147125385205e-05,-9.892564484541506,2.0082140323914683,0.3958333333333333,4.0,0
JOB-103770,2026-08-11 09:35,MLTraining,High,eu-central,69.73,4096,3,0,r8i-flex.16xlarge,Memory optimized,64 vCPUs,512 GiB,Up to 30 Gigabit,$4.2230 hourly,$1.4911 hourly,70.7,74.4,14,50.1,151.8,49.35,22.71,32.2,82.7,0.29104,Normal,64,512.0,4.223,1.4911,30.0,1,9,1,1,390070.27200000006,0.00017876266151346185,-8.629451545256996,4.258869811047899,0.21875,8.0,0
JOB-107760,2026-06-01 13:56,DocumentProcessing,Low,us-west,21.4,1024,1,0,i8g.12xlarge,Storage optimized,48 vCPUs,384 GiB,Up to 28.12 Gigabit,$4.1184 hourly,$1.1837 hourly,69.1,55.7,16,26.4,9.4,73.27,37.66,147.9,30.0,0.03432,Normal,48,384.0,4.1184,1.1837,28.12,1,13,0,1,219021.31200000003,9.770738657615198e-05,-9.233533397104521,3.109060958860994,0.3333333333333333,8.0,0
JOB-108525,2026-07-25 11:56,WebScraping,Medium,us-east,16.12,2048,3,1,r7i.24xlarge,Memory optimized,96 vCPUs,768 GiB,37.5 Gigabit,$6.3504 hourly,$2.4406 hourly,78.9,48.1,22,39.4,55.5,43.51,9.52,74.4,26.6,0.14077,Normal,96,768.0,6.3504,2.4406,37.5,0,11,5,1,378273.792,4.2614636120495494e-05,-10.063312792792267,2.840247370713596,0.22916666666666666,8.0,0
JOB-107050,2026-06-07 16:33,DocumentProcessing,Critical,eu-central,65.23,3840,4,0,c3.xlarge,Compute optimized,4 vCPUs,7.5 GiB,Moderate,$0.2100 hourly,$0.0758 hourly,99.5,28.1,11,19.1,71.7,53.36,26.28,13.9,310.7,0.0725,Bottleneck,4,7.5,0.21,0.0758,1.0,0,16,6,1,2158.08,0.030225941577698697,-3.4990547306853217,4.193133532496888,2.75,1.875,1
JOB-105714,2026-06-14 08:08,ETL,High,ap-south,42.11,8192,2,2,c5ad.24xlarge,Compute optimized,96 vCPUs,192 GiB,20 Gigabit,$4.1280 hourly,$1.3751 hourly,64.1,40.6,11,50.0,81.4,49.91,29.64,53.9,29.3,0.06719,Normal,96,192.0,4.128,1.3751,20.0,0,8,6,0,79822.84800000001,0.0005275431916435755,-7.547279816072994,3.763754988759043,0.11458333333333333,2.0,0
JOB-107118,2026-07-15 17:55,Streaming,Critical,us-east,4.98,1024,1,0,c7i.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0893 hourly,$0.0283 hourly,54.4,74.3,9,26.2,19.8,54.33,25.49,8.5,31.1,0.00077,Normal,2,4.0,0.0893,0.0283,12.5,1,17,2,1,3043.328,0.0016363665040376853,-6.415277041418404,1.7884205679625405,4.5,2.0,0
JOB-109731,2026-08-05 10:05,WebScraping,Medium,us-east,148.97,2048,2,0,c8ib.large,Compute optimized,2 vCPUs,4 GiB,Up to 16.66 Gigabit,$0.1361 hourly,$0.0395 hourly,66.7,63.7,14,51.9,63.2,58.41,25.82,57.3,470.1,0.03554,Bottleneck,2,4.0,0.1361,0.0395,16.66,1,10,2,1,2609.152,0.057095178816718994,-2.8630355999178683,5.010435274093589,7.0,2.0,1
JOB-102598,2026-06-28 19:20,WebScraping,Low,us-east,54.97,4096,3,0,c5.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 10 Gigabit,$0.1700 hourly,$0.0610 hourly,67.3,3.0,8,17.5,160.7,32.64,44.13,60.0,380.7,0.05393,Bottleneck,4,8.0,0.17,0.061,10.0,1,19,6,0,245.76,0.22367350260416666,-1.4975678680867384,4.024815832903268,2.0,2.0,1
JOB-106887,2026-07-08 08:35,WebScraping,Medium,ap-south,252.66,1024,2,1,r8id.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1663 hourly,$0.0512 hourly,73.5,72.7,15,54.6,40.3,35.04,11.67,33.1,993.0,0.09174,Normal,2,16.0,0.1663,0.0512,12.5,1,8,2,0,11911.168,0.021212025554504816,-3.853187014988725,5.535994787639283,7.5,8.0,0
JOB-109664,2026-08-28 00:53,Aggregation,Medium,eu-central,57.88,2048,1,0,c7i.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.3570 hourly,$0.1735 hourly,53.9,44.4,15,36.4,86.6,27.42,37.48,15.6,49.4,0.0049,Normal,8,16.0,0.357,0.1735,12.5,1,0,4,0,7274.496,0.007956564963400902,-4.833757909526039,4.075501474420621,1.875,2.0,0
JOB-102909,2026-06-16 21:07,DocumentProcessing,Medium,ap-south,18.19,4096,5,0,d3.xlarge,Storage optimized,4 vCPUs,32 GiB,Up to 15 Gigabit,$0.4990 hourly,$0.1124 hourly,40.6,83.8,8,70.8,68.1,32.39,25.94,7.1,41.1,0.02848,Normal,4,32.0,0.499,0.1124,15.0,1,21,1,0,27459.584,0.0006624280979639022,-7.319598537369094,2.9543893100196086,2.0,8.0,0
JOB-105719,2026-06-10 16:19,DocumentProcessing,Medium,ap-south,9.71,4096,2,0,m8gn.large,General purpose,2 vCPUs,8 GiB,Up to 30 Gigabit,$0.1455 hourly,$0.0561 hourly,87.3,81.1,8,70.4,393.1,33.71,40.51,2.9,95.7,0.00774,Bottleneck,2,8.0,0.1455,0.0561,30.0,1,16,2,1,6643.7119999999995,0.001461532348181258,-6.528269840109331,2.3711778844596574,4.0,4.0,1
JOB-101704,2026-07-13 14:40,ETL,High,ap-south,10.3,512,2,0,c5a.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 10 Gigabit,$0.1540 hourly,$0.0644 hourly,45.5,55.8,9,38.6,81.1,45.84,12.16,29.3,44.2,0.00378,Normal,4,8.0,0.154,0.0644,10.0,1,14,0,1,4571.1359999999995,0.002253269209229391,-6.095373135442872,2.424802725718295,2.25,2.0,0
JOB-104854,2026-07-12 13:54,Aggregation,Low,us-west,37.98,8192,3,0,c8gn.24xlarge,Compute optimized,96 vCPUs,192 GiB,300 Gigabit,$5.6880 hourly,$1.2134 hourly,55.4,27.6,19,32.1,46.9,66.94,35.23,64.9,22.8,0.10807,Normal,96,192.0,5.688,1.2134,300.0,0,13,6,1,54263.808000000005,0.0006999140200407608,-7.264553058978108,3.6630486940794147,0.19791666666666666,2.0,0
JOB-108455,2026-06-07 03:17,DocumentProcessing,Low,us-west,146.42,2048,2,0,c4.4xlarge,Compute optimized,16 vCPUs,30 GiB,High,$0.7960 hourly,$0.3131 hourly,32.0,89.3,11,42.7,115.5,52.92,33.95,7.7,110.4,0.04882,Normal,16,30.0,0.796,0.3131,10.0,0,3,6,0,27432.96,0.005337375186636804,-5.2330212849374735,4.9932856557611425,0.6875,1.875,0
JOB-108816,2026-07-01 08:48,MLTraining,Medium,us-east,129.57,2048,1,0,x1e.2xlarge,Memory optimized,8 vCPUs,244 GiB,Up to 10 Gigabit,$1.6680 hourly,$0.3376 hourly,85.2,30.0,15,22.9,70.8,55.41,14.42,36.6,349.2,0.1618,Normal,8,244.0,1.668,0.3376,10.0,1,8,2,0,74956.8,0.0017285956711065571,-6.360445950926,4.871909481419947,1.875,30.5,0
JOB-106157,2026-06-25 14:21,ETL,Medium,us-west,80.74,4096,2,0,r7iz.large,Memory optimized,2 vCPUs,16 GiB,Up to 12.5 Gigabit,$0.1860 hourly,$0.0374 hourly,58.6,28.0,7,47.4,123.4,68.99,18.75,52.9,435.9,0.04504,Bottleneck,2,16.0,0.186,0.0374,12.5,1,14,3,1,4587.52,0.017599923270089284,-4.039860736601552,4.403543478136132,3.5,8.0,1
JOB-107068,2026-08-16 07:37,WebScraping,Low,us-west,209.1,512,1,0,i8g.large,Storage optimized,2 vCPUs,16 GiB,Up to 10 Gigabit,$0.1716 hourly,$0.0448 hourly,43.4,60.0,12,45.3,83.6,73.34,34.03,15.0,597.6,0.02849,Normal,2,16.0,0.1716,0.0448,10.0,1,7,6,0,9830.4,0.021270751953125,-3.850422297638656,5.347583607850955,6.0,8.0,0
JOB-107544,2026-07-26 11:55,DocumentProcessing,Low,ap-south,8.16,2048,1,1,c6id.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.1008 hourly,$0.0336 hourly,49.9,38.2,6,57.2,328.4,28.51,33.86,36.9,129.2,0.00362,Bottleneck,2,4.0,0.1008,0.0336,12.5,1,11,6,1,1564.672,0.005215150523560209,-5.256187327367766,2.214846178686039,3.0,2.0,1
JOB-103170,2026-07-19 15:41,ETL,Low,us-west,132.01,2048,3,0,m9gd.large,General purpose,2 vCPUs,8 GiB,Up to 15 Gigabit,$0.1257 hourly,$0.0396 hourly,50.1,57.7,13,34.0,81.1,37.43,33.11,34.5,291.7,0.03056,Normal,2,8.0,0.1257,0.0396,15.0,1,15,6,1,4726.784000000001,0.027928079641464466,-3.5781226575125835,4.890424313365205,6.5,4.0,0
JOB-103961,2026-07-12 03:34,Streaming,Medium,eu-central,21.28,4096,1,2,c6gd.2xlarge,Compute optimized,8 vCPUs,16 GiB,Up to 10 Gigabit,$0.3072 hourly,$0.0372 hourly,48.4,46.3,13,30.7,93.2,19.36,39.21,43.6,164.7,0.01405,Bottleneck,8,16.0,0.3072,0.0372,10.0,1,3,6,0,7585.7919999999995,0.002805244330453564,-5.876264638469888,3.1036894150590832,1.625,2.0,1
JOB-103848,2026-08-06 07:10,Aggregation,Low,eu-central,21.12,2048,1,0,r8idb.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 20 Gigabit,$0.4689 hourly,$0.1681 hourly,26.0,97.0,14,68.9,59.6,29.82,38.54,6.7,40.9,0.00533,Normal,4,32.0,0.4689,0.1681,20.0,1,7,3,0,31784.96,0.000664465206185567,-7.316528042076411,3.096482176654134,3.5,8.0,0
JOB-105888,2026-07-11 10:42,Aggregation,Medium,eu-central,62.28,8192,1,0,m8g.2xlarge,General purpose,8 vCPUs,32 GiB,Up to 15 Gigabit,$0.3590 hourly,$0.1358 hourly,82.5,67.7,15,72.1,63.6,55.72,32.96,109.6,252.0,0.02513,Bottleneck,8,32.0,0.359,0.1358,15.0,1,10,5,1,22183.936,0.002807436876846381,-5.87548335536352,4.147569323459399,1.875,4.0,1
JOB-106461,2026-06-04 15:01,DocumentProcessing,Critical,ap-south,200.93,2048,2,0,m5a.xlarge,General purpose,4 vCPUs,16 GiB,Up to 10 Gigabit,$0.1720 hourly,$0.0759 hourly,46.8,94.1,12,46.2,72.4,12.48,42.97,17.7,220.4,0.02106,Normal,4,16.0,0.172,0.0759,10.0,1,15,3,1,15417.344,0.013032724702776303,-4.340291799746015,5.307921102690732,3.0,4.0,0
JOB-104003,2026-06-15 07:07,WebScraping,Medium,us-west,13.71,2048,2,0,i4g.8xlarge,Storage optimized,32 vCPUs,256 GiB,18.75 Gigabit,$2.4710 hourly,$0.8166 hourly,83.1,79.7,16,26.2,19.8,31.55,12.78,21.8,36.6,0.05024,Normal,32,256.0,2.471,0.8166,18.75,0,7,0,0,208928.768,6.562045108120295e-05,-9.631623156312871,2.688527534613346,0.5,8.0,0
JOB-102231,2026-06-08 21:51,Aggregation,Low,us-east,66.5,2048,2,0,m5zn.12xlarge,General purpose,48 vCPUs,192 GiB,100 Gigabit,$3.9641 hourly,$1.5137 hourly,31.3,49.9,19,23.6,101.8,47.01,15.75,5.8,36.6,0.0806,Normal,48,192.0,3.9641,1.5137,100.0,0,21,0,0,98107.39199999999,0.0006778286390489313,-7.296616046734807,4.212127597878484,0.3958333333333333,4.0,0
JOB-104702,2026-08-16 11:49,Streaming,Critical,us-east,19.04,1024,3,0,c8id.4xlarge,Compute optimized,16 vCPUs,32 GiB,Up to 15 Gigabit,$0.8870 hourly,$0.2378 hourly,84.0,18.0,12,32.8,110.8,25.8,37.39,29.4,29.7,0.02195,Normal,16,32.0,0.887,0.2378,15.0,1,11,6,1,5898.24,0.003228081597222222,-5.735867250944033,2.997730276216664,0.75,2.0,0
JOB-106683,2026-08-24 07:36,Aggregation,High,us-east,7.47,4096,5,3,r4.xlarge,Memory optimized,4 vCPUs,30.5 GiB,Up to 10 Gigabit,$0.2660 hourly,$0.0992 hourly,8.8,82.6,19,12.5,8.4,29.16,34.6,21.7,19.0,0.00702,Normal,4,30.5,0.266,0.0992,10.0,1,7,0,0,25797.631999999998,0.00028956146052474895,-8.147142984606933,2.136530508663963,4.75,7.625,0
JOB-100141,2026-07-17 09:21,WebScraping,Medium,us-west,51.05,8192,3,0,r5.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 10 Gigabit,$0.2520 hourly,$0.0662 hourly,77.7,38.0,18,26.1,199.5,30.2,36.35,68.7,296.9,0.06235,Bottleneck,4,32.0,0.252,0.0662,10.0,1,9,4,1,12451.84,0.004099795692845395,-5.4968181375268,3.952204795060978,4.5,8.0,1
JOB-108242,2026-07-19 11:08,WebScraping,High,us-east,23.05,512,5,0,m9g.4xlarge,General purpose,16 vCPUs,64 GiB,Up to 17 Gigabit,$0.7827 hourly,$0.3130 hourly,45.1,85.5,11,32.8,76.6,13.81,17.18,2.6,52.5,0.05707,Normal,16,64.0,0.7827,0.313,17.0,1,11,6,1,56033.28,0.00041136267589546787,-7.79603530947109,3.1801349965517702,0.6875,4.0,0
JOB-108949,2026-06-29 17:42,MLTraining,Medium,us-east,33.57,2048,2,1,c8g.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0798 hourly,$0.0297 hourly,99.5,57.3,14,24.9,138.5,41.12,30.11,33.6,1312.2,0.05817,Bottleneck,2,4.0,0.0798,0.0297,12.5,1,17,0,1,2347.008,0.0143033172447644,-4.247263793460003,3.5429862539335333,7.0,2.0,1
JOB-108561,2026-06-26 15:22,Streaming,Low,us-east,16.66,1024,3,0,m8ine.xlarge,General purpose,4 vCPUs,16 GiB,6.25 Gigabit,$0.4177 hourly,$0.1245 hourly,31.2,93.9,16,59.4,19.3,55.8,20.79,11.8,31.5,0.01096,Normal,4,16.0,0.4177,0.1245,6.25,0,15,4,1,15384.576000000001,0.001082902772231097,-6.828110091326663,2.8713021951758138,4.0,4.0,0
